run_id,suite,seed,task_id,level,status,pass,score,duration_ms,agents_executed,tokens_total,tokens_input,tokens_output,tokens_thinking,tokens_assembly,tokens_execution,tokens_verification,tokens_adapt,tokens_self_healing,cost_usd,model_config_id,missing_keywords,missing_sections,error,cot_verification,self_reflection,reflection_correction,reflection_tokens
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L3_acceptance_protocol,L3,failed,False,0.0,75527,5,0,0,0,0,2282,0,0,0,0,0.0,U-STRONG-L3L5,,,,True,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L3_progress_with_cost_comparison,L3,resolved,True,1.0,64238,5,29611,23484,6127,0,2671,29611,2749,0,0,0.007199,U-STRONG-L3L5,,,,True,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L3_safety_incident_report,L3,resolved,True,1.0,97790,5,45954,38388,7566,0,4891,45954,2260,0,0,0.010298,U-STRONG-L3L5,,,,True,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L3_structural_assessment,L3,resolved,True,1.0,128480,5,40255,34107,6148,0,4979,40255,2032,0,0,0.008805,U-STRONG-L3L5,,,,True,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L3_environmental_compliance,L3,resolved,True,1.0,88523,5,33143,28207,4936,0,4960,33143,2205,0,0,0.007193,U-STRONG-L3L5,,,,True,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L3_schedule_variance_analysis,L3,resolved,True,1.0,73634,5,41854,35750,6104,0,4950,41854,2129,0,0,0.009025,U-STRONG-L3L5,,,,True,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L3_warranty_claim_report,L3,build_failed,False,0.0,75000,0,0,0,0,0,0,0,0,0,0,0.0,U-STRONG-L3L5,,,,False,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L4_fire_safety_audit,L4,resolved,True,1.0,70136,5,40991,35532,5459,0,4175,40991,2226,0,0,0.008605,U-STRONG-L3L5,,,,True,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L4_energy_evaluation,L4,resolved,True,1.0,64207,5,35070,30905,4165,0,3657,35070,3083,0,0,0.007135,U-STRONG-L3L5,,,,True,True,0.07,678
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L4_procurement_documentation,L4,resolved,True,1.0,88722,5,45365,35903,9462,0,2640,45365,2378,0,0,0.011063,U-STRONG-L3L5,,,,True,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L4_noise_protection_assessment,L4,resolved,True,1.0,72625,5,50404,44093,6311,0,5086,50404,2017,0,0,0.010401,U-STRONG-L3L5,,,,True,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L4_facade_inspection_report,L4,resolved,True,1.0,86331,5,62664,53465,9199,0,2711,62664,2464,0,0,0.013539,U-STRONG-L3L5,,,,True,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L4_demolition_planning_report,L4,resolved,True,1.0,92268,5,38563,31882,6681,0,5654,38563,2606,0,0,0.008791,U-STRONG-L3L5,,,,True,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L4_accessibility_audit,L4,failed,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,U-STRONG-L3L5,,,,False,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L5_schema_discovery_report,L5,resolved,False,0.111,329211,5,87672,79966,7706,0,2559,63457,3223,2540,0,0.016619,U-STRONG-L3L5,Projekt 'Neubau Wohnanlage Bergstraße 12' wird identifiziert;Projekt 'Sanierung Grundschule Am Park' wird identifiziert;Rohbau-Fortschritt wird korrekt mit ca. 85% angegeben;Verzögerung im Gewerk Elektro wird erkannt und benannt;Mindestens 3 offene kritische Mängel werden aufgelistet;Gesamtkosten werden als Summe berechnet und dem Budget gegenübergestellt;Mindestens ein konkreter Mangel mit Beschreibung wird genannt;Fortschritt von mindestens 4 Gewerken wird einzeln ausgewiesen,,,True,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L5_etl_quarterly_report,L5,build_failed,False,0.0,200000,0,0,0,0,0,0,0,0,0,0,0.0,U-STRONG-L3L5,,,,False,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L5_audio_tagesbericht_rohbau,L5,resolved,True,1.0,62804,5,46881,40495,6386,0,2960,46881,2070,0,0,0.009906,U-STRONG-L3L5,,,,True,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L5_audio_begehung_maengel,L5,resolved,True,1.0,99711,5,56817,49178,7639,0,3171,56817,2398,0,0,0.01196,U-STRONG-L3L5,,,,True,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L5_audio_bauleitungssitzung,L5,resolved,True,1.0,88645,5,60678,52583,8095,0,3263,60678,2543,0,0,0.012744,U-STRONG-L3L5,,,,True,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L5_audio_telefonat_statiker,L5,resolved,True,1.0,64579,5,33793,29887,3906,0,3008,33793,2105,0,0,0.006827,U-STRONG-L3L5,,,,True,False,0.0,0
88bebca8-29e0-422e-b785-b495f16958a0,progressive_complexity,2,L5_audio_sicherheitsbericht,L5,resolved,True,1.0,46855,5,25024,20854,4170,0,3181,25024,2573,0,0,0.00563,U-STRONG-L3L5,,,,True,False,0.0,0
