run_id,suite,seed,task_id,level,status,pass,score,duration_ms,agents_executed,tokens_total,missing_keywords,missing_sections,error
c9ac1219-6d07-41bf-adfa-3966f2b2b775,progressive_complexity,1,L1_simple_daily_report,L1,resolved,True,0.875,30992,11,81512,Es waren 5 Arbeiter Rohbau und 2 Arbeiter Elektro vor Ort,,
c9ac1219-6d07-41bf-adfa-3966f2b2b775,progressive_complexity,1,L1_defect_list,L1,resolved,False,0.714,22895,11,82057,Im Badezimmer OG sind 3 Fliesen locker;Die Haustuer schliesst nicht buendig mit einem Spalt von 5mm links unten,,
c9ac1219-6d07-41bf-adfa-3966f2b2b775,progressive_complexity,1,L1_safety_protocol,L1,resolved,True,1.0,27823,11,80319,,,
c9ac1219-6d07-41bf-adfa-3966f2b2b775,progressive_complexity,1,L1_material_delivery_log,L1,resolved,True,1.0,59469,11,81699,,,
c9ac1219-6d07-41bf-adfa-3966f2b2b775,progressive_complexity,1,L1_weather_delay_report,L1,resolved,True,1.0,22472,11,82956,,,
c9ac1219-6d07-41bf-adfa-3966f2b2b775,progressive_complexity,1,L1_daily_workforce_report,L1,resolved,True,0.857,26636,11,79834,Die Arbeitszeit war von 07:00 bis 16:30 mit Pause von 12:00 bis 12:30,,
c9ac1219-6d07-41bf-adfa-3966f2b2b775,progressive_complexity,1,L1_concrete_pour_protocol,L1,resolved,True,1.0,15379,11,77174,,,
c9ac1219-6d07-41bf-adfa-3966f2b2b775,progressive_complexity,1,L1_site_handover_note,L1,resolved,True,1.0,21508,11,81304,,,
c9ac1219-6d07-41bf-adfa-3966f2b2b775,progressive_complexity,1,L2_combined_defect_safety,L2,resolved,True,1.0,19827,11,84667,,,
c9ac1219-6d07-41bf-adfa-3966f2b2b775,progressive_complexity,1,L2_daily_with_supplements,L2,resolved,False,0.714,22013,11,84567,"Die Entsorgungskosten betragen ca. 280 EUR pro Tonne, geschaetzt 7.000 EUR netto;Der Baggermehraufwand wird auf 2 Tage extra geschaetzt (3.200 EUR)",,
c9ac1219-6d07-41bf-adfa-3966f2b2b775,progressive_complexity,1,L2_multi_trade_inspection,L2,resolved,True,1.0,39979,11,86247,,,
