run_id,suite,seed,task_id,level,status,pass,score,duration_ms,agents_executed,tokens_total,tokens_input,tokens_output,tokens_thinking,tokens_assembly,tokens_execution,tokens_verification,tokens_adapt,tokens_self_healing,cost_usd,model_config_id,missing_keywords,missing_sections,error,cot_verification,self_reflection,reflection_correction,reflection_tokens
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,IT_L1_server_outage,L1,resolved,False,0.889,38409,5,18763,15734,3029,0,2671,18763,2425,0,0,0.002785,DT-WEAK-WARM,,Vorfalldaten,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,IT_L1_network_disruption,L1,resolved,False,0.9,41044,5,26363,22797,3566,0,2782,26363,1740,0,0,0.003706,DT-WEAK-WARM,,Vorfalldaten,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,IT_L1_password_reset_incident,L1,resolved,False,0.9,37812,5,28463,25305,3158,0,2743,28463,1485,0,0,0.003794,DT-WEAK-WARM,,Ticketdaten,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,IT_L2_multi_team_incident,L2,resolved,False,0.909,75299,5,40811,33260,7551,0,2839,40811,2204,0,0,0.006346,DT-WEAK-WARM,,Timeline,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,IT_L2_change_incident_combined,L2,build_failed,False,0.0,110000,0,0,0,0,0,0,0,0,0,0,0.0,DT-WEAK-WARM,,,,False,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,IT_L2_capacity_planning,L2,resolved,False,0.833,62171,5,23337,18709,4628,0,2788,23337,2510,0,0,0.003722,DT-WEAK-WARM,,Ist-Zustand;Wachstumsanalyse,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,IT_L3_root_cause_analysis,L3,resolved,False,0.769,46207,5,24778,20447,4331,0,2902,24778,2291,0,0,0.003777,DT-WEAK-WARM,Root-Cause,Timeline;Root-Cause,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,IT_L3_postmortem_with_impact,L3,resolved,False,0.615,81551,5,42923,36118,6805,0,3060,42923,2405,0,0,0.006334,DT-WEAK-WARM,Post-Mortem,Vorfallzusammenfassung;Timeline;Impact-Berechnung;Root-Cause,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,IT_L3_disaster_recovery_test,L3,resolved,False,0.833,97808,5,36098,29736,6362,0,2811,36098,2359,0,0,0.005518,DT-WEAK-WARM,Disaster-Recovery,Empfehlungen,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,IT_L4_security_breach_analysis,L4,resolved,False,0.929,74763,5,26876,21668,5208,0,2904,26876,2309,0,0,0.00425,DT-WEAK-WARM,,Vorfallzusammenfassung,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,IT_L4_compliance_audit,L4,resolved,False,0.769,85633,5,43936,36552,7384,0,2872,43936,2522,0,0,0.006609,DT-WEAK-WARM,,Auditdaten;Pruefbereiche;Bewertung,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,IT_L4_cloud_migration_assessment,L4,resolved,False,0.917,91932,5,32049,26819,5230,0,2979,32049,2389,0,0,0.004774,DT-WEAK-WARM,,Empfehlung,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,MP_L1_team_standup,L1,resolved,True,1.0,89076,5,29492,25200,4292,0,2762,29492,1913,0,0,0.004237,DT-WEAK-WARM,,,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,MP_L1_decision_log,L1,failed,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,DT-WEAK-WARM,,,,False,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,MP_L1_status_update,L1,resolved,False,0.9,68234,5,26612,23647,2965,0,2801,26612,1729,0,0,0.003551,DT-WEAK-WARM,,Projektstatus,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,MP_L2_project_kickoff,L2,resolved,False,0.769,125815,5,40291,34038,6253,0,5727,40291,2626,0,0,0.005905,DT-WEAK-WARM,,Teilnehmer;Rahmenbedingungen;Offene Punkte,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,MP_L2_sprint_retrospective,L2,resolved,False,0.846,63317,5,35318,29642,5676,0,2905,35318,1963,0,0,0.005235,DT-WEAK-WARM,,Sprintdaten;Metriken,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,MP_L2_architecture_review,L2,resolved,False,0.833,114947,5,57526,46031,11495,0,3005,57526,2184,0,0,0.009201,DT-WEAK-WARM,,Ist-Zustand;Erwartete Verbesserung,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,MP_L3_budget_review,L3,resolved,False,0.833,105659,5,24324,19194,5130,0,3120,24324,2412,0,0,0.003971,DT-WEAK-WARM,,Finanzdaten;Abweichungsanalyse,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,MP_L3_vendor_evaluation,L3,failed,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,DT-WEAK-WARM,,,,False,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,MP_L3_risk_workshop,L3,resolved,False,0.917,82255,5,25805,20785,5020,0,3005,25805,2994,0,0,0.004086,DT-WEAK-WARM,,Workshopdaten,,True,True,0.09,688
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,MP_L4_board_meeting,L4,resolved,False,0.667,60410,5,21171,16007,5164,0,6086,21171,2951,0,0,0.003666,DT-WEAK-WARM,,Sitzungsdaten;Tagesordnung;Beschluesse;Abstimmungsergebnisse,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,MP_L4_regulatory_compliance_meeting,L4,resolved,False,0.867,227714,5,54310,44524,9786,0,6212,31446,5393,22864,0,0.008367,DT-WEAK-WARM,,Teilnehmer;Regulatorischer Rahmen,,True,False,0.0,0
5342ad3e-e0cc-4912-9bc6-c5cdaed6cd6e,domain_transfer,3,MP_L4_ma_integration_planning,L4,resolved,False,0.846,102343,5,34000,27800,6200,0,3180,34000,2630,0,0,0.00526,DT-WEAK-WARM,,Transaktionsdaten;Verantwortlichkeiten,,True,False,0.0,0
